case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	VOID	1.657520e+02	3.790000e-01	4.685861e+04	1.657520e+02	1.657520e+02	1.657520e+02	1.657520e+02	-5.957377e-05	-5.664977e-05	YES
1	VOID	1.712165e+02	3.267886e-01	4.294060e+04	1.712165e+02	1.712165e+02	1.712165e+02	1.712165e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.851222e+02	2.682920e-01	4.352130e+04	1.851222e+02	1.851222e+02	1.851222e+02	1.851222e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.733118e+02	3.458387e-01	4.409147e+04	1.733118e+02	1.733118e+02	1.733118e+02	1.733118e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.720046e+02	3.454478e-01	4.330219e+04	1.720046e+02	1.720046e+02	1.720046e+02	1.720046e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.762560e+02	3.160000e-01	4.923727e+04	1.762560e+02	1.762560e+02	1.762560e+02	1.762560e+02	-3.676680e-05	-4.565426e-05	YES
1	VOID	1.613390e+02	4.620000e-01	4.543265e+04	1.613390e+02	1.613390e+02	1.613390e+02	1.613390e+02	-4.853802e-05	1.485891e-05	YES
1	VOID	1.635312e+02	4.157795e-01	4.478236e+04	1.635312e+02	1.635312e+02	1.635312e+02	1.635312e+02	0.000000e+00	0.000000e+00	YES
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
