Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
1	11.216	7.503	0.000	0.000	796.363	216000.000	0.000	0.000	1115.750	0.000
1	11.497	7.867	1.398	0.000	796.363	216000.000	0.000	0.000	1302.110	0.000
1	11.624	8.099	5.266	0.000	796.363	216000.000	0.000	0.000	1265.160	0.000
1	11.704	8.148	11.779	0.000	796.363	216000.000	0.000	0.000	1240.060	0.000
1	11.761	8.156	14.938	0.000	796.363	216000.000	0.000	0.000	1253.800	0.000
1	11.759	8.149	16.059	0.000	796.363	216000.000	0.000	0.000	1250.340	0.000
1	11.761	8.156	16.473	0.000	796.363	216000.000	0.000	0.000	1257.360	0.000
1	11.780	8.153	14.906	0.000	796.363	216000.000	0.000	0.000	1261.810	0.000
1	11.763	8.168	15.111	0.187	796.363	216000.000	0.000	0.000	1275.400	0.000
1	11.786	8.208	14.424	3.152	796.363	216000.000	0.000	0.000	1314.900	0.000
1	11.763	8.213	12.214	8.382	796.363	216000.000	0.000	0.000	1318.890	13.200
1	11.789	8.192	11.377	14.387	796.363	216000.000	0.000	0.000	1299.600	10.800
1	11.843	8.182	11.696	15.904	796.363	216000.000	165.752	0.379	1296.430	8.400
1	11.822	8.158	12.217	17.426	796.363	216000.000	171.213	0.327	1279.410	8.300
1	11.823	8.160	12.860	17.344	796.363	216000.000	185.125	0.268	1288.170	7.900
1	11.796	8.187	12.842	16.318	796.363	216000.000	173.270	0.346	1308.070	8.200
1	11.768	8.175	12.829	16.888	796.363	216000.000	172.035	0.345	1291.920	8.200
1	11.778	8.170	13.702	17.555	796.363	216000.000	176.256	0.316	1285.380	8.100
1	11.749	8.165	14.502	16.051	796.363	216000.000	161.339	0.462	1283.770	8.300
1	11.763	8.166	15.509	14.813	796.363	216000.000	163.543	0.416	1280.600	8.200
1	11.777	8.175	15.281	14.387	796.363	216000.000	0.000	0.000	1295.110	8.400
1	11.777	8.176	14.416	14.142	796.363	216000.000	0.000	0.000	1296.450	8.500
1	11.769	8.157	13.919	13.880	796.363	216000.000	0.000	0.000	1286.920	8.500
1	11.765	8.164	13.835	13.450	796.363	216000.000	0.000	0.000	1296.360	8.700
1	11.746	8.161	13.191	13.679	796.363	216000.000	0.000	0.000	1294.100	8.800
1	11.750	8.161	12.892	14.290	796.363	216000.000	0.000	0.000	1290.320	8.600
1	11.753	8.154	13.484	14.610	796.363	216000.000	0.000	0.000	1285.050	8.700
1	11.756	8.133	13.982	14.778	796.363	216000.000	0.000	0.000	1276.500	8.700
1	11.777	8.119	14.576	15.143	796.363	216000.000	0.000	0.000	1272.660	8.500
1	11.760	8.110	14.778	15.506	796.363	216000.000	0.000	0.000	1271.230	8.600
1	11.752	8.101	14.367	14.745	796.363	216000.000	0.000	0.000	1266.040	8.500
1	11.754	8.107	13.836	15.047	796.363	216000.000	0.000	0.000	1272.090	8.600
1	11.757	8.120	13.568	15.464	796.363	216000.000	0.000	0.000	1277.980	8.600
1	11.750	8.134	13.665	15.697	796.363	216000.000	0.000	0.000	1285.970	8.700
1	11.759	8.143	13.384	15.545	796.363	216000.000	0.000	0.000	1289.560	8.700
1	11.779	8.133	13.650	16.239	796.363	216000.000	0.000	0.000	1285.270	8.700
1	11.778	8.135	13.674	16.782	796.363	216000.000	0.000	0.000	1291.430	8.700
1	11.771	8.143	13.889	16.521	796.363	216000.000	0.000	0.000	1293.700	8.800
1	11.781	8.152	14.391	16.706	796.363	216000.000	0.000	0.000	1303.030	8.700
1	11.780	8.153	14.605	16.860	796.363	216000.000	0.000	0.000	1300.940	8.700
1	11.795	8.140	14.302	16.546	796.363	216000.000	0.000	0.000	1293.650	8.700
1	11.781	8.146	14.090	16.301	796.363	216000.000	0.000	0.000	1301.300	8.800
1	11.769	8.144	14.471	16.810	796.363	216000.000	0.000	0.000	1296.020	8.600
1	11.782	8.145	14.806	16.799	796.363	216000.000	0.000	0.000	1296.270	8.600
1	11.787	8.152	14.742	16.299	796.363	216000.000	0.000	0.000	1301.440	8.600
1	11.770	8.139	14.184	16.028	796.363	216000.000	0.000	0.000	1293.310	8.700
1	11.771	8.150	14.160	16.250	796.363	216000.000	0.000	0.000	1297.660	8.700
1	11.784	8.148	13.756	15.960	796.363	216000.000	0.000	0.000	1296.840	8.700
1	11.771	8.155	14.368	16.416	796.363	216000.000	0.000	0.000	1303.440	8.800
1	11.768	8.156	14.278	16.406	796.363	216000.000	0.000	0.000	1301.720	8.700
1	11.766	8.150	14.281	16.497	796.363	216000.000	0.000	0.000	1295.710	8.800
1	11.767	8.141	14.023	16.614	796.363	216000.000	0.000	0.000	1289.220	8.700
1	11.765	8.133	13.797	16.078	796.363	216000.000	0.000	0.000	1287.680	8.600
1	11.759	8.135	14.110	15.418	796.363	216000.000	0.000	0.000	1287.150	8.700
1	11.765	8.123	13.961	15.242	796.363	216000.000	0.000	0.000	1281.360	8.700
1	11.774	8.124	13.656	15.716	796.363	216000.000	0.000	0.000	1286.660	8.800
1	11.782	8.125	13.399	15.433	796.363	216000.000	0.000	0.000	1286.890	8.700
1	11.771	8.142	14.006	15.222	796.363	216000.000	0.000	0.000	1297.100	8.700
1	11.763	8.142	14.256	15.299	796.363	216000.000	0.000	0.000	1293.380	8.700
1	11.792	8.149	14.370	15.528	796.363	216000.000	0.000	0.000	1297.900	8.700
1	11.780	8.153	14.198	15.595	796.363	216000.000	0.000	0.000	1304.120	8.700
1	11.793	8.148	14.400	15.711	796.363	216000.000	0.000	0.000	1299.030	8.700
1	11.786	8.149	14.740	15.609	796.363	216000.000	0.000	0.000	1303.580	8.800
1	11.798	8.151	15.198	15.338	796.363	216000.000	0.000	0.000	1302.680	8.600
1	11.782	8.156	15.062	15.229	796.363	216000.000	0.000	0.000	1313.600	8.700
1	11.781	8.166	14.834	15.447	796.363	216000.000	0.000	0.000	1318.460	8.600
1	11.779	8.162	14.613	15.405	796.363	216000.000	0.000	0.000	1316.560	8.700
1	11.772	8.162	14.981	15.431	796.363	216000.000	0.000	0.000	1317.600	8.700
1	11.781	8.159	15.525	15.398	796.363	216000.000	0.000	0.000	1317.700	8.700
1	11.779	8.163	15.424	15.726	796.363	216000.000	0.000	0.000	1320.010	8.700
1	11.773	8.161	14.893	15.712	796.363	216000.000	0.000	0.000	1318.540	8.700
1	11.771	8.161	13.794	15.121	796.363	216000.000	0.000	0.000	1320.260	8.600
1	11.753	8.170	13.579	14.715	796.363	216000.000	0.000	0.000	1330.140	8.700
1	11.764	8.170	13.609	15.193	796.363	216000.000	0.000	0.000	1327.090	8.700
1	11.782	8.179	13.629	15.867	796.363	216000.000	0.000	0.000	1341.650	8.800
1	11.793	8.196	13.131	15.869	796.363	216000.000	0.000	0.000	1363.480	8.800
1	11.790	8.201	13.130	16.089	796.363	216000.000	0.000	0.000	1367.670	8.800
1	11.797	8.204	13.378	16.273	796.363	216000.000	0.000	0.000	1374.530	8.800
1	11.782	8.208	13.501	16.484	796.363	216000.000	0.000	0.000	1379.080	8.800
1	11.787	8.214	13.643	16.667	796.363	216000.000	0.000	0.000	1387.310	8.700
1	11.795	8.223	14.173	16.428	796.363	216000.000	0.000	0.000	1399.250	8.600
1	11.800	8.210	14.443	16.248	796.363	216000.000	0.000	0.000	1391.330	8.700
1	11.797	8.201	14.739	16.523	796.363	216000.000	0.000	0.000	1383.270	8.600
1	11.798	8.194	15.881	16.614	796.363	216000.000	0.000	0.000	1383.180	8.500
1	11.795	8.199	15.830	16.592	796.363	216000.000	0.000	0.000	1387.820	8.500
1	11.772	8.199	15.073	16.781	796.363	216000.000	0.000	0.000	1389.210	8.700
1	11.771	8.196	13.531	16.654	796.363	216000.000	0.000	0.000	1385.120	8.700
1	11.775	8.194	12.856	16.515	796.363	216000.000	0.000	0.000	1385.380	8.600
1	11.779	8.184	12.066	16.533	796.363	216000.000	0.000	0.000	1379.210	8.700
1	11.759	8.187	12.830	17.391	796.363	216000.000	0.000	0.000	1380.250	8.700
1	11.730	8.173	14.259	17.102	796.363	216000.000	0.000	0.000	1366.890	8.400
1	11.725	8.155	15.386	16.881	796.363	216000.000	0.000	0.000	1348.480	8.600
1	11.693	8.139	15.435	16.920	796.363	216000.000	0.000	0.000	1343.050	8.400
1	11.696	8.120	15.404	16.665	796.363	216000.000	0.000	0.000	1329.040	8.400
1	11.671	8.097	15.079	15.883	796.363	216000.000	166.354	0.441	1321.330	8.300
1	11.686	8.084	14.289	15.085	796.363	216000.000	165.930	0.400	1303.270	8.300
